CustomerKey,GeographyKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,YearlyIncome,NumberChildrenAtHome,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase
11000,26,Jon,Yang,1986-04-08,M,M,90000,0,Professional,1,0,3761 N. 14th St,,1 (11) 500 555-0162,2016-07-22
11001,37,Eugene,Huang,1985-05-14,S,M,60000,3,Professional,0,1,2243 W St.,,1 (11) 500 555-0110,2016-07-18
11002,31,Ruben,Torres,1985-08-12,M,M,60000,3,Professional,1,1,5844 Linden Land,,1 (11) 500 555-0184,2016-07-10
11003,11,Christy,Zhu,1988-02-15,S,F,70000,0,Professional,0,1,1825 Village Pl.,,1 (11) 500 555-0162,2016-07-01
11004,19,Elizabeth,Johnson,1988-08-08,S,F,80000,5,Professional,1,4,7553 Harness Circle,,1 (11) 500 555-0131,2016-07-26
11005,22,Julio,Ruiz,1985-08-05,S,M,70000,0,Professional,1,1,7305 Humphrey Drive,,1 (11) 500 555-0151,2016-07-02
11006,8,Janet,Alvarez,1985-12-06,S,F,70000,0,Professional,1,1,2612 Berry Dr,,1 (11) 500 555-0184,2016-07-27
11007,40,Marco,Mehta,1984-05-09,M,M,60000,3,Professional,1,2,942 Brook Street,,1 (11) 500 555-0126,2016-07-12
11008,32,Rob,Verhoff,1984-07-07,S,F,60000,4,Professional,1,3,624 Peabody Road,,1 (11) 500 555-0164,2016-07-28
11009,25,Shannon,Carlson,1984-04-01,S,M,70000,0,Professional,0,1,3839 Northgate Road,,1 (11) 500 555-0110,2016-07-30
11010,22,Jacquelyn,Suarez,1984-02-06,S,F,70000,0,Professional,0,1,7800 Corrinne Court,,1 (11) 500 555-0169,2016-07-17
11011,22,Curtis,Lu,1983-11-04,M,M,60000,4,Professional,1,4,1224 Shoenic,,1 (11) 500 555-0117,2016-07-02
11012,611,Lauren,Walker,1988-01-18,M,F,100000,0,Management,1,2,4785 Scott Street,,717-555-0164,2018-09-17
11013,543,Ian,Jenkins,1988-08-06,M,M,100000,0,Management,1,3,7902 Hudson Ave.,,817-555-0185,2018-10-15
11014,634,Sydney,Bennett,1988-05-09,S,F,100000,0,Management,0,3,9011 Tank Drive,,431-555-0156,2018-09-24
11015,301,Chloe,Young,1999-02-27,S,F,30000,0,Skilled Manual,0,1,244 Willow Pass Road,,208-555-0142,2018-07-22
11016,329,Wyatt,Hill,1999-04-28,M,M,30000,0,Skilled Manual,1,1,9666 Northridge Ct.,,135-555-0171,2018-08-13
11017,39,Shannon,Wang,1964-06-26,S,F,20000,0,Skilled Manual,1,2,7330 Saddlehill Lane,,1 (11) 500 555-0195,2016-07-15
11018,32,Clarence,Rai,1964-10-09,S,M,30000,0,Clerical,1,2,244 Rivewview,,1 (11) 500 555-0137,2016-07-20
11019,52,Luke,Lal,1998-03-07,S,M,40000,0,Skilled Manual,0,2,7832 Landing Dr,,262-555-0112,2018-08-16
11020,53,Jordan,King,1998-09-20,S,M,40000,0,Skilled Manual,0,2,7156 Rose Dr.,,550-555-0163,2018-07-02
11021,536,Destiny,Wilson,1998-09-03,S,F,40000,0,Skilled Manual,0,1,8148 W. Lake Dr.,,622-555-0158,2018-07-27
11022,609,Ethan,Zhang,1998-10-12,M,M,40000,0,Skilled Manual,1,1,1769 Nicholas Drive,,589-555-0185,2018-07-24
11023,298,Seth,Edwards,1998-10-11,M,M,40000,0,Skilled Manual,1,1,4499 Valley Crest,,452-555-0188,2018-08-21
11024,311,Russell,Xie,1998-09-17,M,M,60000,0,Skilled Manual,1,2,8734 Oxford Place,,746-555-0186,2018-12-29
11025,24,Alejandro,Beck,1965-12-23,M,M,10000,1,Clerical,1,2,2596 Franklin Canyon Road,,1 (11) 500 555-0178,2016-07-09
11026,4,Harold,Sai,1966-04-03,S,M,30000,0,Clerical,0,2,8211 Leeds Ct.,,1 (11) 500 555-0131,2016-07-26
11027,40,Jessie,Zhao,1966-12-07,M,M,30000,0,Clerical,1,2,213 Valencia Place,,1 (11) 500 555-0184,2016-07-19
11028,17,Jill,Jimenez,1966-04-11,M,F,30000,0,Clerical,1,2,9111 Rose Ann Ave,,1 (11) 500 555-0116,2016-07-29
11029,32,Jimmy,Moreno,1966-12-21,M,M,30000,0,Clerical,1,2,6385 Mark Twain,,1 (11) 500 555-0146,2016-07-22
11030,28,Bethany,Yuan,1967-02-22,M,F,10000,1,Clerical,1,2,636 Vine Hill Way,,1 (11) 500 555-0182,2016-08-08
11031,8,Theresa,Ramos,1967-08-22,M,F,20000,0,Skilled Manual,1,2,6465 Detroit Ave.,,1 (11) 500 555-0195,2016-08-04
11032,35,Denise,Stone,1967-06-11,M,F,20000,0,Skilled Manual,1,2,626 Bentley Street,,1 (11) 500 555-0169,2016-08-21
11033,9,Jaime,Nath,1967-09-23,M,M,20000,0,Skilled Manual,1,2,5927 Rainbow Dr,,1 (11) 500 555-0137,2016-08-18
11034,12,Ebony,Gonzalez,1967-06-19,M,F,20000,0,Skilled Manual,1,2,5167 Condor Place,,1 (11) 500 555-0136,2016-08-04
11035,33,Wendy,Dominguez,1968-02-24,M,F,10000,1,Clerical,1,2,1873 Mt. Whitney Dr,,1 (11) 500 555-0177,2016-08-09
11036,343,Jennifer,Russell,1998-12-18,M,F,60000,0,Skilled Manual,1,2,3981 Augustine Drive,,115-555-0183,2018-07-26
11037,49,Chloe,Garcia,1997-11-27,S,F,40000,0,Clerical,0,2,8915 Woodside Way,,229-555-0112,2018-07-24
11038,6,Diana,Hernandez,1968-03-23,M,F,10000,1,Clerical,1,2,8357 Sandy Cove Lane,,1 (11) 500 555-0114,2016-08-10
11039,19,Marc,Martin,1968-12-17,M,M,30000,0,Clerical,1,2,9353 Creekside Dr.,,1 (11) 500 555-0183,2016-08-10
11040,642,Jesse,Murphy,1997-08-01,M,M,30000,0,Skilled Manual,1,2,3350 Kingswood Circle,,961-555-0176,2018-10-05
11041,325,Amanda,Carter,1997-10-16,M,F,60000,0,Skilled Manual,1,2,5826 Escobar,,295-555-0145,2018-07-18
11042,338,Megan,Sanchez,1997-06-13,M,F,70000,0,Skilled Manual,1,2,1397 Paraiso Ct.,,404-555-0199,2018-07-25
11043,325,Nathan,Simmons,1996-02-24,M,M,60000,0,Skilled Manual,1,2,1170 Shaw Rd,,296-555-0181,2018-11-09
11044,25,Adam,Flores,1969-05-24,M,M,20000,1,Clerical,1,2,6935 Candle Dr,,1 (11) 500 555-0163,2016-08-31
11045,8,Leonard,Nara,1970-05-19,S,M,30000,0,Skilled Manual,0,2,7466 La Vista Ave.,,1 (11) 500 555-0151,2018-10-12
11046,6,Christine,Yuan,1970-03-22,M,F,30000,0,Skilled Manual,1,2,2356 Orange St,,1 (11) 500 555-0113,2016-08-09
11047,34,Jaclyn,Lu,1970-02-27,M,F,30000,0,Skilled Manual,0,2,2812 Mazatlan,,1 (11) 500 555-0137,2016-08-06
11048,39,Jeremy,Powell,1970-11-22,M,M,30000,0,Skilled Manual,1,2,1803 Potomac Dr.,,1 (11) 500 555-0183,2016-08-13
11049,307,Carol,Rai,2000-07-18,S,F,40000,0,Clerical,1,2,6064 Madrid,,654-555-0180,2018-09-10
11050,31,Alan,Zheng,1971-09-07,M,M,30000,0,Skilled Manual,1,2,2741 Gainborough Dr.,,1 (11) 500 555-0135,2016-08-23
11051,21,Daniel,Johnson,1971-08-04,S,M,30000,0,Skilled Manual,0,2,8085 Sunnyvale Avenue,,1 (11) 500 555-0155,2019-07-01
11052,8,Heidi,Lopez,1971-08-07,S,F,40000,0,Clerical,0,2,2514 Via Cordona,,1 (11) 500 555-0168,2016-08-20
11053,359,Ana,Price,2000-08-20,M,F,60000,0,Skilled Manual,0,2,1660 Stonyhill Circle,,859-555-0113,2018-07-21
11054,34,Deanna,Munoz,1972-03-10,M,F,40000,0,Skilled Manual,1,2,5825 B Way,,1 (11) 500 555-0192,2016-08-06
11055,22,Gilbert,Raje,1972-03-05,M,M,40000,0,Skilled Manual,1,2,8811 The Trees Dr.,,1 (11) 500 555-0129,2016-08-03
11056,10,Michele,Nath,1973-04-03,M,F,40000,0,Skilled Manual,1,2,5464 Janin Pl.,,1 (11) 500 555-0178,2016-08-29
11057,5,Carl,Andersen,1973-10-12,M,M,70000,0,Management,1,2,6930 Lake Nadine Place,,1 (11) 500 555-0181,2016-08-25
11058,29,Marc,Diaz,1974-04-27,M,M,80000,0,Skilled Manual,1,2,6645 Sinaloa,,1 (11) 500 555-0149,2016-09-09
11059,27,Ashlee,Andersen,1974-04-01,S,F,80000,0,Skilled Manual,1,2,8255 Highland Road,,1 (11) 500 555-0112,2018-08-22
11060,40,Jon,Zhou,1974-03-17,M,M,80000,0,Skilled Manual,1,2,6574 Hemlock Ave.,,1 (11) 500 555-0174,2016-09-19
11061,23,Todd,Gao,1974-02-27,M,M,80000,0,Skilled Manual,1,2,8808 Geneva Ave,,1 (11) 500 555-0191,2016-09-13
11062,547,Noah,Powell,1995-09-02,M,M,40000,0,Skilled Manual,1,2,9794 Marion Ct,,767-555-0113,2018-07-11
